STORE,WF#,NAME OF STORE,ADDRESS,CITY,STATE,ZIP,PHONE #,GEO LOCATION
,,Price Chopper House Calls RX,3761 Main Street  ,Warrensburg,NY,12885,518-623-2993,"43.4920710, -73.7686470"
,,Price Chopper Plattsburgh,19 Centre Dr, Plattsburgh,NY,12901,518-562-3560,"44.6949530, -73.4916520"
,,Price Chopper Champlain,"860 State Route 11,  PO Box 2332", Champlain,NY,12919,518-298-4200,"44.9793470, -73.4433780"
,,Price Chopper Lake Placid,1930 Saranac Ave, Lake Placid,NY,12946,518-523-2790,"44.2946270, -74.0103950"
,,Price Chopper Malone,53 Finney Blvd, Malone,NY,12953,518-483-8476,"44.8459140, -74.3013470"
,,Price Chopper Cicero,"5701 E Circle Dr, Suite 100", Cicero,NY,13039,315-458-2056,"43.1491160, -76.1203250"
,,Price Chopper Cortland,"854 State Rte 13,  Cortlandville Shopping Ctr", Cortland,NY,13045,607-756-4994,"42.5708020, -76.2160050"
,,Price Chopper Fulton,12 W First St South, Fulton,NY,13069,315-598-4000,"43.3241270, -76.4240600"
,,Price Chopper Clay,3863 State Rte 31, Liverpool,NY,13090,315-622-6008,"43.1886430, -76.2454450"
,,Price Chopper Oswego ,137 State Route 104, Oswego,NY,13126,315-342-0571,"43.4620150, -76.4863630"
,,Price Chopper Western Lights,4713 Onondaga Blvd, Syracuse,NY,13219,315-472-3812,"43.0349440, -76.1914260"
,,Price Chopper Erie Blvd,2515 Erie Boulevard East, Syracuse,NY,13224,315-449-2314,"43.0546720, -76.102345"
,,Price Chopper Cooperstown,113 Chestnut St,Cooperstown,NY,13326,607-547-2527,"42.6933460, -74.9349450"
,,Price Chopper Colgate,1050 Madison Market Place, Hamilton,NY,13346,315-824-6040,"42.7994070, -75.5332210"
,,Price Chopper RX Store,34 Chenango Avenue, Clinton,NY,13357,315-381-3386,"43.0468830, -75.3841240"
,,Price Chopper Little Falls,555 East Main Street, Little Falls,NY,13365,315-508-3333,"43.0439300, -74.8578190"
,,Price Chopper Commercial Dr,4535 Commercial Dr, New Hartford,NY,13413,315-736-8376,"43.0859320, -75.3191000"
,,Price Chopper Oneida,142 Genesee St, Oneida,NY,13421,315-363-8927,"43.0798320, -75.6438550"
,,Price Chopper Palatine Bridge,6025 NY State Route 5, Palantine Bridge,NY,13428,518-673-2333,"42.9150040, -74.5914600"
,,Price Chopper Richfield Springs,"1 Main St,  Suite 1", Richfield Springs,NY,13439,315-858-1171,"42.8580890, -74.9952440"
,,Price Chopper RX Store,1717 Black River Road, Rome,NY,13440,315-339-0648,"43.2307380, -75.4393310"
,,Price Chopper Rome,1790 Black River Blvd, Rome  ,NY,13440,315-337-5086,"43.2322510, -75.4364060"
,,Price Chopper Genessee St,1917 Genessee St, Utica,NY,13501,315-732-1031,"43.0864520, -75.2598270"
,,Price Chopper North Utica,"50 Auert Ave,  North Utica Shopping Center", Utica,NY,13501,315-732-0507,"43.1140770, -75.2082080"
,,Price Chopper Watertown,1283 Arsenal St, Watertown,NY,13601,315-788-1645,"43.9740190, -75.9471340"
,,Price Chopper Alexandria Bay,43449 NYS Route 12, Alexandria Bay,NY,13607,315-215-7008,"44.2980790, -75.9650580"
,,Price Chopper Canton,111 East Main St, Canton,NY,13617,315-379-9696,"44.5983100, -75.1494890"
,,Price Chopper West Carthage,60 High St, West Carthage,NY,13619,315-493-6668,"43.9695470, -75.6239690"
,,Price Chopper Gouverneur,389 East Main St.  ,Gouverneur,NY,13642,315-287-4200,"44.3411190, -75.4549400"
,,Price Chopper Massena,152 Harte Haven Plaza, Massena,NY,13662,315-769-0042,"44.9216130, 44.9216130"
,,Price Chopper Ogdensburg,2981 Ford St Extension  Gateway Center , Ogdensburg,NY,13669,315-393-7153,"44.7054287, -75.4563106"
,,Price Chopper Potsdam,201 Market Street, Potsdam,NY,13676,315-265-2165,"44.6861960, -74.9888230"
,,Price Chopper Delhi,3 Main St, Delhi,NY,13753,607-746-8001,"42.2668290, -74.9222950"
,,Price Chopper Endicott,1001 North Street  Suite 11, Endicott,NY,13760,607-748-8080,"42.1047090, -76.0516680"
,,Price Chopper Norwich,5631 State Highway 12, Norwich,NY,13815,607-336-2774,"42.5147470, -75.5240660"
,,Price Chopper Oneonta,5626 State Highway 7  Suite 7, Oneonta,NY,13820,607-432-8905,"42.4623940, -75.0138190"
,,Price Chopper Owego,42 W Main St, Owego,NY,13827,607 -687-5449,"42.0984090, -76.2698630"
,,Price Chopper Sidney,165 Delaware Ave, Sidney,NY,13838,607 -563-2733,"42.2969010, -75.4106490"
,,Price Chopper Chenango,33 Chenango Bridge Road  ,Binghamton,NY,13901,607-235-7240,"42.1694060, -75.8848130"
,,Price Chopper Binghamton ,10 Glenwood Ave, Binghamton,NY,13905,607-770-7151,"42.1075870, -75.9359940"
,,Price Chopper Marshall's Creek,4551 Milford Road   PA 18302,East Stroudsburg,PA,18302,570-994-1377,"41.0455030, -75.1194380"
,,Price Chopper Westfall,1025 Pennsylvania Ave, Matamoras,PA,18336,570-491-5612,"41.3623810, -74.7096810"
,,Price Chopper Taylor,1510 S Main Ave, Taylor,PA,18504,570-969-4920,"41.3943610, -75.6917830"
,,Price Chopper O'Neill Highway,1228 O'Neill Highway, Dunmore,PA,18512,570-346-4538,"41.4353800, -75.6173110"
,,Price Chopper Wyoming,"Midway Shop Ctr,  1026 Wyoming Ave", Wyoming,PA,18644,570-693-3997,"41.2998020, -75.8517420"
,,Price Chopper Wilkes Barre ,245 Wilkes Barre Township Blvd, Wilkes Barre,PA,18702,570-825-0830,"41.2377800, -75.8626280"
,,Price Chopper Montrose,"RR 7,  Box 7126", Montrose,PA,18801,570-278-2817,"41.8339650, -75.8771390"
,,Price Chopper Edwardsville,180 Westside Mall, Edwardsville,PA,18704-3117,570-287-7244,"41.2598250, -75.9017300"
,,Kings Food Market - Bedminster,450 Route 206N and Hills Drive,Bedminster,NJ,7921,908-719-4960,"40.6505630, -74.6436760"
,,Kings Food Market - Bernardsville,100 Morristown Road,Bernardsville,NJ,7924,908-204-4840 ,"40.7205280, -74.5623970"
,,Kings Food Market - Boonton,115 Hawkins Place,Boonton,NJ,7005,973-257-4899,"40.9078030, -74.4249740"
,,Kings Food Market - Chatham,393 Main Street,Chatham,NJ,7928,973-635-4400,"40.7422980, -74.3885580"
,,Kings Food Market - Cresskill,70 Union Avenue,Cresskill,NJ,7626,201-541-4900,"40.9408830, - 73.9603110"
,,Kings Food Market - Florham Park,184 Columbia Tpk.,Florham Park,NJ,7932,973-360-1600,"40.7891950, -74.3932400"
,,"Kings Food Market - Garden City, NY",870 Franklin Avenue,Garden City,NY,11530,516-739-5559 ,"40.7277250, -73.6353320"
,,Kings Food Market - Garwood,300 South Avenue,Garwood,NJ,7027,908-518-4360,"40.6521800, -74.3230480"
,,Kings Food Market - Gillette,977 Valley Road,Gillette,NJ,7933,908-580-5080 ,"40.6691370, -74.4797920"
,,Kings Food Market - Hillsdale,381 Washington Avenue,Hillsdale,NJ,7642,201-722-4690,"41.0008530, -74.0409740"
,,Kings Food Market - Hoboken North,1212 Shipyard Lane,Hoboken,NJ,7030,201-239-4060,"40.7515740, -74.0251220"
,,Kings Food Market - Hoboken South,325 River Street,Hoboken,NJ,7030,201-386-2300 ,"40.7401300, -74.0276900"
,,Kings Food Market - Livingston,255 S. Livingston Avenue,Livingston,NJ,7039,973-535-4940 ,"40.7866200, -74.3125470"
,,Kings Food Market - Maplewood,159 Maplewood Avenue,Maplewood,NJ,7040,973-761-4092,"40.7314010, -74.2769250"
,,Kings Food Market - Mendham,86 East Main Street,Mendham,NJ,7945,973-543-4493,"40.7831650, -74.5891950"
,,Kings Food Market - Midland Park,85 Godwin Avenue,Midland Park,NJ,7432,201-251-4808 ,"40.9902660, -74.1406740"
,,Kings Food Market - Morristown,191 South Street,Morristown,NJ,7960,973-898-4512 ,"40.7906720, -74.4750860"
,,"Kings Food Market - Old Greenwich, CT",26 Arcadia Road,Old Greenwich,CT,6870,203-637-1701 ,"41.0324970, -73.5670320"
,,Kings Food Market - Ridgewood,112 N. Maple Avenue,Ridgewood,NJ,7450,201-493-4924,"40.9812040, -74.1133740"
,,Kings Food Market - Short Hills,778 Morris Turnpike,Short Hills,NJ,7078,973-258-4000 ,"40.7214080, -74.3321140"
,,Kings Food Market - Summit,784 Springfield Avenue,Summit,NJ,7901,908-598-4500 ,"40.7127130, -74.3842910"
,,Kings Food Market - Upper Montclair,650 Valley Road,Upper Montclair,NJ,7043,973-509-4828,"40.8434990, -74.2082170"
,,Kings Food Market - Verona,265 Pompton Avenue,Verona,NJ,7044,973-571-4188 ,"40.8336400, -74.2272380"
,,Kings Food Market - Warren,64 Mountain Blvd,Warren,NJ,7059,908-226-4988,"40.6184360, -74.4930950"
,,Kings Food Market - Whitehouse Station,531 U.S. Hwy. 22 East,Whitehouse Station,NJ,8889,908-534-6888 ,"40.6204170, -74.7631460"
,,JACKSON,260 NORTH COUNTY LINE ROAD,JACKSON,NJ,8527,732-886-7009,"40.1390250, -74.2941000"
,,BAYVILLE,431 ATLANTIC CITY BLVD,BAYVILLE,NJ,8721,732-606-0800,"39.9126340, -74.1530840"
,,MANAHAWKIN,295 ROUTE 72 ,MANAHAWKIN,NJ,8050,609-597-0091,"39.6869900, -74.2518390"
,,FISCHER BAY,860 FISCHER BLVD.,TOMS RIVER,NJ,8753,732-270-8833,"39.9715120, -74.1366510"
,,MANCHESTER,1001 RT. 70 WEST,LAKEHURST,NJ,8733,732-657-0700,"40.0144050, -74.2975410"
,,WARETOWN,501 ROUTE 9 IN THE TOWNE CENTER,WARETOWN,NJ,8758,609-971-6001,"39.7915080, -74.1951390"
,,LACEY TWSP,RT. 9 & FIRST ST.,LANOKA HARBOR,NJ,8734,609-693-1152,"39.8525950, -74.1819470"
,,WORLD CLASS KITCHEN COMMISSARY,1930 EAST ELIZABETH AVE.,LINDEN,NJ,7036,908-925-1550,"40.6491870, -74.2324460"
,,BAKERY COMMISSARY,201 COMMERCE DR.,FREEHOLD,NJ,7728,732-845-4929,"40.2517480, -74.2397300"
,,WORLD CLASS FREEHOLD COMMISSARY,101 COMMERCE DRIVE,FREEHOLD,NJ,7728,732-414-6570,"
40.2513990, -74.2395560"
,,MARLBORO,280 US HIGHWAY 9,MARLBORO,NJ,7751,732-617-0404,"40.3417800, -74.3054920"
,,NEPTUNE,2200 HIGHWAY 66,NEPTUNE,NJ,7753,732-775-4250,"40.2248420, -74.0427700"
,,BOUNDBROOK,611 W. UNION AVENUE,BOUND BROOK,NJ,8805,732-302-9299,"40.5703250, -74.5530670"
,,SOMERVILLE,1 SOUTH DAVENPORT ST.,SOMERVILLE,NJ,8875,908-231-8100,"40.5694940, -74.6159480"
,,BRANCHBURG,3166 ROUTE 22,SOMERVILLE,NJ,8876,908-704-3378,"40.6044890, -74.6912590"
,,LAWRENCEVILLE,3373 BRUNSWICK PIKE,LAWRENCEVILLE,NJ,8648,609-275-8555,"40.2919170, -74.6859900"
,,EAST WINDSOR,319 ROUTE 130,HIGHTSTOWN,NJ,8520,609-448-1040,"40.2787200, -74.5303200"
,,EWING,1750 NORTH OLDEN AVE.,EWING,NJ,8638,609-219-0202,"40.2495620, -74.7693840"
,,HAMILTON,130 MARKETPLACE BLVD.,ROBBINSVILLE,NJ,8691,609-581-5823,"40.1921970, -74.6422680"
,,WOODBRIDGE,877 ST. GEORGE AVE.,WOODBRIDGE,NJ,7095,732-636-3500,"40.5681430, -74.2931420"
,,N. BRUNSWICK,400 RENAISSANCE BLVD. & RT. 130 S. ,N. BRUNSWICK,NJ,8902,732-940-3112,"40.4344320, -74.4870590"
,,PENNINGTON,2555 PENNINGTON RD.,PENNINGTON,NJ,8638,609-882-0711,"40.2896800, -74.7850180"
,,PISCATAWAY,1306 CENTENNIAL AVE.,PISCATAWAY,NJ,8854,732-981-9111,"40.5515580, -74.4427800"
,,ERNSTON RD.,2909 WASHINGTON RD.,PARLIN,NJ,8859,732-525-8282,"40.4675290, -74.3121730"
,,HAMILTON SQ.,1225 RT. 33 - HAMILTON PLAZA,HAMILTON TWSP,NJ,8690,609-890-8088,"40.2263470, -74.6642410"
,,BORDENTOWN,622 RT. 206 & MARTIN,BORDENTOWN,NJ,8505,609-298-8700,"40.1731650, -74.6997810"
,,EDISON,775 RT. 1 & OLD POST RD.,EDISON,NJ,8817,732-819-0140,"40.5148090, -74.3732900"
,,E. BRUNSWICK,14-22 W. PROSPECT ST. ,E. BRUNSWICK,NJ,8816,732-257-7575,"40.4551440, -74.3944120"
,,LAKEWOOD ,1700 MADISON AVE.,LAKEWOOD,NJ,8701,732-363-8270,"40.1088630, -74.2202640"
,,ROUTE 37,2 ROUTE 37 WEST,TOMS RIVER,NJ,08753-6588,732-286-4500,"39.9652160, -74.2147140"
,,FREEHOLD,SOUTH ST. & RT. #9,FREEHOLD,NJ,7728,732-462-3120,"40.2400270, -74.2758990"
,,ABERDEEN,318 LLOYD RD,ABERDEEN,NJ,7747,732-566-9111,"40.3951620, -74.2215540"
,,MONTGOMERY,1325 US HIGHWAY 206 NORTH,MONTGOMERY TWSP,NJ,8558,609-279-9800,"40.4039430, -74.6484530"
,,W. LONG BRANCH,RT. 36 & 71,W. LONG BRANCH,NJ,7764,732-542-5222,"40.2953500, -74.0289990"
,,HAZLET,3120 STATE HWY 35,HAZLET,NJ,7730,732-264-4110,"40.4194880, -74.1849030"
,,MIDDLETOWN,RT 35 & HARMONY ROAD,MIDDLETOWN,NJ,7748,732-671-9444,"40.4028310, -74.1245420"
,,WALL TWSP.,2433 HIGHWAY 34,MANASQUAN,NJ,8736,732-292-9780,"40.1215080, -74.0802830"
,,HOWELL,4594 ROUTE 9 SOUTH,HOWELL,NJ,07731-3771,,"40.1529890, -74.2295920"
,,BELMAR,1801 HIGHWAY 35,BELMAR,NJ,7719,732-681-0900,"40.1675760, -74.0488150"
,,BRICKTOWN,668 RT. 70,BRICKTOWN,NJ,8723,732-477-7906,"40.0616520, -74.1440880"
,,GARWOOD,563 NORTH AVENUE EAST,GARWOOD,NJ,7027,908-654-0803,"40.6521040, -74.3310170"
,,ELIZABETH,865 W. GRAND ST.,ELIZABETH,NJ,7202,908-558-9126,"40.6635340, -74.2397660"
,,EAST ORANGE,533 MARTIN L. KING BLVD.,EAST ORANGE,NJ,7019,973-674-1500,"40.7666090, -74.2188410"
,,GREATER MORRISTOWN,178 E. HANOVER AVE.,CEDAR KNOLLS,NJ,7927,973-829-6825,"40.8135850, -74.4688280"
,,LIVINGSTON,483 S. LIVINGSTON AVE.,LIVINGSTON,NJ,7039,973-740-2004,"40.7749880, -74.3214660"
,,UNION,2401D US HIGHWAY 22 WEST,UNION,NJ,7083,908-810-6742,"40.6899030, -74.2958380"
,,CHESTER,RT. 206 SOUTH,CHESTER,NJ,7930,908-879-5836,"40.7799250, -74.6985320"
,,CHATHAM,641 SHUNPIKE ROAD,CHATHAM,NJ,7928,973-377-4788,"40.7454800, -74.4317630"
,,SPRINGFIELD,727 MORRIS TPKE.,SPRINGFIELD,NJ,7081,973-376-3028,"40.7190010, -74.3312620"
,,ESSEX GREEN,1 ROONEY CIRCLE,WEST ORANGE,NJ,7052,973-736-9374,"40.7950990, -74.2557380"
,,MILLBURN,220 MAIN ST.,MILLBURN,NJ,7041,973-467-5436,"40.7179960, -74.3073510"
,,WASHINGTON,2 CLUBHOUSE DRIVE,WASHINGTON,NJ,7882,908-835-0761,"40.7382510, -74.9753620"
,,STROUDSBURG,THIRD & McCONNELL STREETS,STROUDSBURG,PA,18360,570-424-5715,"40.9897330, -75.1889910"
,,STIRLING,VALLEY RD.,STIRLING,NJ,7980,908-604-2129,"40.6680920, -74.4891920"
,,HILLSBOROUGH,RT. 206 & AMWELL RD.,HILLSBOROUGH,NJ,8844,908-359-7400,"40.5023250, -74.6448430"
,,SOMERSET,435 ELIZABETH AVE.,SOMERSET,NJ,8873,732-356-8703,"40.5307860, -74.5378890"
,,BERNARDSVILLE,93 MORRISTOWN ROAD,BERNARDSVILLE,NJ,7924,908-766-3129,"40.7189630, -74.5623040"
,,WATCHUNG,1701 ROUTE 22 WEST,WATCHUNG,NJ,7069,908-322-6410,"40.6496820, -74.4077190"
,,LANDIS,3600 E. LANDIS AVENUE,VINELAND,NJ,8360,856-691-0106,"39.4840260, -74.9582790"
,,GALLOWAY,401 SOUTH PITNEY ROAD,GALLOWAY,NJ,8205,609-404-4160,"39.4625120, -74.4955630"
,,ENGLISH CREEK,3003 BLACK HORSE PIKE,EGG HARBOR TWSP,NJ,8234,609-645-7553,"39.4009620, -74.5660580"
,,MARMORA,4 W. ROOSEVELT BLVD.,MARMORA,NJ,8223,609-545-0410,"39.2648270, -74.6499940"
,,SOMERS POINT,23 BETHEL ROAD,SOMERS POINT,NJ,8244,609-927-8133,"39.3175690, -74.5939210"
,,ABSECON,616 WHITE HORSE PIKE,ABSECON,NJ,8201,609-646-2448,"39.4331860, -74.5111960"
,,HAMMONTON ,80 S. WHITEHORSE PIKE,HAMMONTON,NJ,8037,609-704-7609,"39.6456340, -74.7869210"
,,RIO GRANDE,1700 RT. 47 SOUTH,RIO GRANDE,NJ,8242,609-399-3534,"39.0119850, -74.8688170"
,,OLD BRIDGE,2239 US 9,OLD BRIDGE,NJ,8857,732-727-3533,"40.4107550, -74.3048240"
,,TIMONIUM,37 W. AYLESBURY ROAD,TIMONIUM,MD,21093-4102,410-308-8700,"39.4377530, -76.6266750"
,,WHITE OAK,12028 CHERRY HILL ROAD,SILVER SPRING,MD,20904-1985,301-572-2085,"39.0547970, -76.9565430"
,,MARLTON,307 WEST ROUTE 70,MARLTON,NJ,8053,856-983-7370,"39.8944520, -74.9317770"
,,UNION MILL RD.,892 UNION MILL ROAD,MT. LAUREL,NJ,8054,856-365-0341,"39.9377760, -74.9151600"
,,EVESHAM RD.,400 E. EVESHAM RD.,CHERRY HILL,NJ,8003,856-216-1400,"39.8618600, -74.9730430"
,,GARDEN STATE PAVILION,RT. 70 & CORNELL AVE.,CHERRY HILL,NJ,8002,856-910-2300,"39.9246040, -75.0471760"
,,MT. LAUREL,1000 NIXON DRIVE,MOORESTOWN,NJ,8054,856-439-9700,"39.9382870, -74.9660070"
